2023-11-14-bithumb-btc-orderbook
   ,  price  ,quantity  ,type,         timestamp
2,49539000,0.0858,1,2023-11-13 22:26:01
3,49540000,0.0979,1,2023-11-13 22:26:01
4,49541000,0.0077,1,2023-11-13 22:26:01
   ,   price , quantity ,e  ,          timestamp
0,49544000,0.0171,0,2023-11-13 22:26:06
1,49540000,0.0049,0,2023-11-13 22:26:06
2,49539000,0.0056,0,2023-11-13 22:26:06
3,49538000,0.7659,0,2023-11-13 22:26:06
4,49537000,0.0076,0,2023-11-13 22:26:06
0,49545000,0.0044,1,2023-11-13 22:26:06
1,49546000,0.0057,1,2023-11-13 22:26:06
2,49547000,0.0058,1,2023-11-13 22:26:06
3,49548000,0.0054,1,2023-11-13 22:26:06
4,49549000,0.0061,1,2023-11-13 22:26:06
   ,   price , quantity ,e  ,          timestamp
0,49558000,0.0055,0,2023-11-13 22:26:11
1,49557000,0.0059,0,2023-11-13 22:26:11
2,49556000,0.0415,0,2023-11-13 22:26:11
3,49555000,0.0061,0,2023-11-13 22:26:11
4,49554000,0.0052,0,2023-11-13 22:26:11
0,49559000,0.2117,1,2023-11-13 22:26:11
1,49560000,0.0055,1,2023-11-13 22:26:11
2,49561000,0.0043,1,2023-11-13 22:26:11
3,49562000,0.0055,1,2023-11-13 22:26:11
4,49563000,0.0059,1,2023-11-13 22:26:11
   ,   price , quantity ,e  ,          timestamp
0,49565000,0.0118,0,2023-11-13 22:26:16
1,49561000,0.7614,0,2023-11-13 22:26:16
2,49560000,0.0049,0,2023-11-13 22:26:16
3,49559000,0.0041,0,2023-11-13 22:26:16
4,49558000,0.0055,0,2023-11-13 22:26:16
0,49566000,0.0055,1,2023-11-13 22:26:16
1,49567000,0.0047,1,2023-11-13 22:26:16
2,49568000,0.0060,1,2023-11-13 22:26:16
3,49569000,0.0085,1,2023-11-13 22:26:16
4,49570000,0.0897,1,2023-11-13 22:26:16
   ,   price , quantity ,e  ,          timestamp
0,49572000,0.0040,0,2023-11-13 22:26:21
1,49571000,0.0056,0,2023-11-13 22:26:21
2,49570000,0.0051,0,2023-11-13 22:26:21
3,49569000,0.0044,0,2023-11-13 22:26:21
4,49568000,0.0045,0,2023-11-13 22:26:21
0,49575000,0.2458,1,2023-11-13 22:26:21
1,49576000,0.0047,1,2023-11-13 22:26:21
2,49577000,0.0828,1,2023-11-13 22:26:21
3,49578000,0.0044,1,2023-11-13 22:26:21
4,49579000,0.0043,1,2023-11-13 22:26:21
   ,   price , quantity ,e  ,          timestamp
0,49574000,0.0081,0,2023-11-13 22:26:26
1,49573000,0.0047,0,2023-11-13 22:26:26
2,49572000,0.0053,0,2023-11-13 22:26:26
3,49571000,0.2909,0,2023-11-13 22:26:26
4,49570000,0.0051,0,2023-11-13 22:26:26
0,49575000,0.2171,1,2023-11-13 22:26:26
1,49576000,0.0882,1,2023-11-13 22:26:26
2,49577000,0.0827,1,2023-11-13 22:26:26
3,49578000,0.0043,1,2023-11-13 22:26:26
4,49579000,0.0082,1,2023-11-13 22:26:26
   ,   price , quantity ,e  ,          timestamp
0,49573000,0.0045,0,2023-11-13 22:26:31
1,49572000,0.0054,0,2023-11-13 22:26:31
2,49571000,0.1069,0,2023-11-13 22:26:31
3,49570000,0.0051,0,2023-11-13 22:26:31
4,49569000,0.0044,0,2023-11-13 22:26:31
0,49575000,0.0051,1,2023-11-13 22:26:31
1,49576000,0.3000,1,2023-11-13 22:26:31
2,49577000,0.0827,1,2023-11-13 22:26:31
3,49578000,0.0044,1,2023-11-13 22:26:31
4,49579000,0.0044,1,2023-11-13 22:26:31
   ,   price , quantity ,e  ,          timestamp
0,49572000,0.0428,0,2023-11-13 22:26:36
1,49571000,0.1069,0,2023-11-13 22:26:36
2,49570000,0.0081,0,2023-11-13 22:26:36
3,49569000,0.0045,0,2023-11-13 22:26:36
4,49568000,0.0607,0,2023-11-13 22:26:36
0,49574000,0.0003,1,2023-11-13 22:26:36
1,49575000,0.0041,1,2023-11-13 22:26:36
2,49577000,0.0363,1,2023-11-13 22:26:36
3,49578000,0.0044,1,2023-11-13 22:26:36
4,49579000,0.0044,1,2023-11-13 22:26:36
   ,   price , quantity ,e  ,          timestamp
0,49569000,0.0043,0,2023-11-13 22:26:41
1,49568000,0.0046,0,2023-11-13 22:26:41
2,49567000,0.1044,0,2023-11-13 22:26:41
3,49566000,0.0042,0,2023-11-13 22:26:41
4,49565000,0.0859,0,2023-11-13 22:26:41
0,49570000,0.1102,1,2023-11-13 22:26:41
1,49573000,0.0291,1,2023-11-13 22:26:41
2,49574000,0.0061,1,2023-11-13 22:26:41
3,49575000,0.0908,1,2023-11-13 22:26:41
4,49576000,0.0043,1,2023-11-13 22:26:41
   ,   price , quantity ,e  ,          timestamp
0,49568000,0.0048,0,2023-11-13 22:26:46
1,49567000,0.0050,0,2023-11-13 22:26:46
2,49566000,0.0927,0,2023-11-13 22:26:46
3,49565000,0.0052,0,2023-11-13 22:26:46
4,49564000,0.0049,0,2023-11-13 22:26:46
0,49570000,0.0038,1,2023-11-13 22:26:46
1,49571000,0.0051,1,2023-11-13 22:26:46
2,49572000,0.0059,1,2023-11-13 22:26:46
3,49573000,0.0779,1,2023-11-13 22:26:46
4,49574000,0.0061,1,2023-11-13 22:26:46
   ,   price , quantity ,e  ,          timestamp
0,49569000,0.0058,0,2023-11-13 22:26:50
1,49568000,0.0048,0,2023-11-13 22:26:50
2,49567000,0.0050,0,2023-11-13 22:26:50
3,49566000,0.0042,0,2023-11-13 22:26:50
4,49565000,0.0052,0,2023-11-13 22:26:50
0,49570000,0.1448,1,2023-11-13 22:26:50
1,49571000,0.0051,1,2023-11-13 22:26:50
2,49572000,0.0059,1,2023-11-13 22:26:50
3,49573000,0.0533,1,2023-11-13 22:26:50
4,49574000,0.0061,1,2023-11-13 22:26:50
   ,   price , quantity ,e  ,          timestamp
0,49568000,0.0048,0,2023-11-13 22:26:55
1,49567000,0.0050,0,2023-11-13 22:26:55
2,49566000,0.0042,0,2023-11-13 22:26:55
3,49565000,0.0052,0,2023-11-13 22:26:55
4,49564000,0.0049,0,2023-11-13 22:26:55
0,49569000,0.1929,1,2023-11-13 22:26:55
1,49570000,0.1351,1,2023-11-13 22:26:55
2,49571000,0.0051,1,2023-11-13 22:26:55
3,49572000,0.0534,1,2023-11-13 22:26:55
4,49573000,0.0054,1,2023-11-13 22:26:55
   ,   price , quantity ,e  ,          timestamp
0,49567000,0.2167,0,2023-11-13 22:27:00
1,49566000,0.0042,0,2023-11-13 22:27:00
2,49565000,0.0052,0,2023-11-13 22:27:00
3,49564000,0.0049,0,2023-11-13 22:27:00
4,49563000,0.0047,0,2023-11-13 22:27:00
0,49569000,1.4247,1,2023-11-13 22:27:00
1,49570000,0.0108,1,2023-11-13 22:27:00
2,49571000,0.0051,1,2023-11-13 22:27:00
3,49572000,0.0059,1,2023-11-13 22:27:00
4,49573000,0.0054,1,2023-11-13 22:27:00
   ,   price , quantity ,e  ,          timestamp
0,49565000,0.1724,0,2023-11-13 22:27:05
1,49564000,0.0049,0,2023-11-13 22:27:05
2,49563000,0.0047,0,2023-11-13 22:27:05
3,49562000,0.0001,0,2023-11-13 22:27:05
4,49561000,0.0426,0,2023-11-13 22:27:05
0,49566000,0.0369,1,2023-11-13 22:27:05
1,49567000,0.0041,1,2023-11-13 22:27:05
2,49568000,0.0050,1,2023-11-13 22:27:05
3,49569000,0.0047,1,2023-11-13 22:27:05
4,49570000,0.0057,1,2023-11-13 22:27:05
   ,   price , quantity ,e  ,          timestamp
0,49570000,0.2214,0,2023-11-13 22:27:10
1,49569000,0.0041,0,2023-11-13 22:27:10
2,49568000,0.0422,0,2023-11-13 22:27:10
3,49567000,0.0059,0,2023-11-13 22:27:10
4,49566000,0.0608,0,2023-11-13 22:27:10
0,49571000,0.0050,1,2023-11-13 22:27:10
1,49572000,0.0057,1,2023-11-13 22:27:10
2,49573000,0.0052,1,2023-11-13 22:27:10
3,49574000,0.0061,1,2023-11-13 22:27:10
4,49575000,0.0046,1,2023-11-13 22:27:10
   ,   price , quantity ,e  ,          timestamp
0,49570000,0.2223,0,2023-11-13 22:27:15
1,49569000,0.2158,0,2023-11-13 22:27:15
2,49568000,0.0052,0,2023-11-13 22:27:15
3,49567000,0.0431,0,2023-11-13 22:27:15
4,49566000,0.0552,0,2023-11-13 22:27:15
0,49571000,0.0056,1,2023-11-13 22:27:15
1,49572000,0.0042,1,2023-11-13 22:27:15
2,49573000,0.0052,1,2023-11-13 22:27:15
3,49574000,0.0061,1,2023-11-13 22:27:15
4,49575000,0.0046,1,2023-11-13 22:27:15
   ,   price , quantity ,e  ,          timestamp
0,49576000,0.0059,0,2023-11-13 22:27:20
1,49575000,0.0087,0,2023-11-13 22:27:20
2,49574000,0.0056,0,2023-11-13 22:27:20
3,49573000,0.0057,0,2023-11-13 22:27:20
4,49572000,0.0055,0,2023-11-13 22:27:20
0,49578000,0.0044,1,2023-11-13 22:27:20
1,49579000,0.0081,1,2023-11-13 22:27:20
2,49580000,0.1327,1,2023-11-13 22:27:20
3,49581000,0.0051,1,2023-11-13 22:27:20
4,49582000,0.0060,1,2023-11-13 22:27:20
   ,   price , quantity ,e  ,          timestamp
0,49563000,0.0049,0,2023-11-13 22:27:25
1,49562000,0.0003,0,2023-11-13 22:27:25
2,49561000,0.0059,0,2023-11-13 22:27:25
3,49560000,0.0091,0,2023-11-13 22:27:25
4,49559000,0.0044,0,2023-11-13 22:27:25
0,49564000,0.0346,1,2023-11-13 22:27:25
1,49565000,0.0035,1,2023-11-13 22:27:25
2,49569000,0.0052,1,2023-11-13 22:27:25
3,49570000,1.4941,1,2023-11-13 22:27:25
4,49571000,0.0944,1,2023-11-13 22:27:25
   ,   price , quantity ,e  ,          timestamp
0,49566000,0.6459,0,2023-11-13 22:27:30
1,49565000,0.0056,0,2023-11-13 22:27:30
2,49564000,0.0044,0,2023-11-13 22:27:30
3,49563000,0.0041,0,2023-11-13 22:27:30
4,49562000,0.0003,0,2023-11-13 22:27:30
0,49570000,0.0041,1,2023-11-13 22:27:30
1,49571000,0.0047,1,2023-11-13 22:27:30
2,49572000,0.0055,1,2023-11-13 22:27:30
3,49573000,0.0496,1,2023-11-13 22:27:30
4,49574000,0.0057,1,2023-11-13 22:27:30
   ,   price , quantity ,e  ,          timestamp
0,49570000,0.7760,0,2023-11-13 22:27:35
1,49569000,0.0050,0,2023-11-13 22:27:35
2,49568000,0.0107,0,2023-11-13 22:27:35
3,49567000,0.0053,0,2023-11-13 22:27:35
4,49566000,0.0059,0,2023-11-13 22:27:35
0,49572000,0.0004,1,2023-11-13 22:27:35
1,49573000,0.0055,1,2023-11-13 22:27:35
2,49574000,0.0057,1,2023-11-13 22:27:35
3,49575000,0.0056,1,2023-11-13 22:27:35
4,49576000,0.0108,1,2023-11-13 22:27:35
   ,   price , quantity ,e  ,          timestamp
0,49573000,0.0095,0,2023-11-13 22:27:40
1,49572000,0.5074,0,2023-11-13 22:27:40
2,49571000,0.2395,0,2023-11-13 22:27:40
3,49570000,0.0061,0,2023-11-13 22:27:40
4,49569000,0.0050,0,2023-11-13 22:27:40
0,49576000,0.2225,1,2023-11-13 22:27:40
1,49577000,0.0112,1,2023-11-13 22:27:40
2,49578000,0.8775,1,2023-11-13 22:27:40
3,49579000,0.0046,1,2023-11-13 22:27:40
4,49580000,0.1857,1,2023-11-13 22:27:40
   ,   price , quantity ,e  ,          timestamp
0,49568000,0.0048,0,2023-11-13 22:27:45
1,49567000,0.0053,0,2023-11-13 22:27:45
2,49566000,0.0059,0,2023-11-13 22:27:45
3,49565000,0.0056,0,2023-11-13 22:27:45
4,49564000,0.0044,0,2023-11-13 22:27:45
0,49569000,0.0018,1,2023-11-13 22:27:45
1,49570000,0.2220,1,2023-11-13 22:27:45
2,49571000,0.0060,1,2023-11-13 22:27:45
3,49572000,0.1243,1,2023-11-13 22:27:45
4,49573000,0.1379,1,2023-11-13 22:27:45
   ,   price , quantity ,e  ,          timestamp
0,49564000,0.0053,0,2023-11-13 22:27:50
1,49563000,0.0048,0,2023-11-13 22:27:50
2,49562000,0.0047,0,2023-11-13 22:27:50
3,49561000,0.0722,0,2023-11-13 22:27:50
